neuron,mean_still,mean_move,cohen_d,pval,auc,label,p_adj,sig,unit_name
130,2.639215149998023,7.926649159056891,-0.7849205575827857,1.0190552569213625e-186,0.2760848343850194,suppressed,6.7559589255156995e-186,True,<HDF5 object reference>
131,6.316095792858943,15.397405871833378,-1.2353734087703485,1.3842556249313634e-267,0.1850013809772935,suppressed,2.252561426024673e-266,True,<HDF5 object reference>
132,2.0620468733055533,2.7452368373406033,-0.20810755922721386,1.8529928148307533e-09,0.4238518525554656,,2.2874876817565854e-09,True,<HDF5 object reference>
133,9.185604633168118,13.682766528503649,-0.5183362919662979,2.2710155606466303e-50,0.3523638824021113,suppressed,4.279071424797335e-50,True,<HDF5 object reference>
134,2.8727191897269186,4.659139161863066,-0.43977135221669933,8.952961374424004e-37,0.35009725295119964,suppressed,1.430875076805265e-36,True,<HDF5 object reference>
135,9.863868128527729,16.600239216027656,-0.8270372048468524,2.75869359725571e-133,0.2841284425791103,suppressed,9.496272190553309e-133,True,<HDF5 object reference>
136,3.4742785188389242,12.653454454520737,-1.0894067357533075,0.0,0.19768993187178685,suppressed,0.0,True,<HDF5 object reference>
137,1.9026192428044788,4.504953001511456,-0.6017780708273073,2.2034794475525808e-99,0.31919982229964133,suppressed,5.555251001576224e-99,True,<HDF5 object reference>
138,6.311514245790504,6.763458424487734,-0.09187576429025818,0.009033363862515005,0.47830981531438055,,0.009740795972230034,True,<HDF5 object reference>
139,7.069599267023213,11.567732139174074,-0.7044859490398577,2.2552957025520377e-98,0.3137564701343567,suppressed,5.60691570495576e-98,True,<HDF5 object reference>
140,1.3913298087117512,1.6844896935533202,-0.1147827419973022,0.0009669266607629561,0.4646688650266404,,0.001075030262587386,True,<HDF5 object reference>
141,6.405228303801591,11.70806364811803,-0.800782157977615,4.8033302970885526e-120,0.28521817249210135,suppressed,1.4824071089290532e-119,True,<HDF5 object reference>
142,4.4969574342205325,6.928280340970087,-0.4779012855104063,1.0832489946965603e-45,0.3642212895551354,suppressed,1.8825395150551875e-45,True,<HDF5 object reference>
143,0.36398551561959847,0.980934047717647,-0.34423955740151596,6.550644736691398e-36,0.39235322184194604,,1.0108322481618622e-35,True,<HDF5 object reference>
144,3.2980220295831093,9.116013195372279,-1.0314792924940768,1.157336835625987e-223,0.21914670216776902,suppressed,1.150907186539176e-222,True,<HDF5 object reference>
145,1.7182997485487326,2.4885299699057093,-0.25008179065346364,1.9259171443921528e-14,0.41860001052173174,,2.572680364523846e-14,True,<HDF5 object reference>
146,13.168333345211805,20.3756431342232,-0.8809552944098344,3.3150448426984465e-129,0.27008178454416065,suppressed,1.1196094846094753e-128,True,<HDF5 object reference>
147,3.5651174848836864,5.517767674148112,-0.45962017609414285,7.05160215183486e-42,0.36466806128324203,suppressed,1.1907894199796604e-41,True,<HDF5 object reference>
148,1.8654388072835233,2.9724690222954293,-0.345278344727693,4.6287292780914766e-26,0.38661635720110243,,6.73611821771036e-26,True,<HDF5 object reference>
149,6.7213771172905545,24.603843631802153,-1.8009361262345414,0.0,0.08976082057816916,suppressed,0.0,True,<HDF5 object reference>
150,2.1186423938079977,5.322169967033692,-0.7214095135681531,3.3038993149033797e-134,0.2889999313164731,suppressed,1.1596038771915784e-133,True,<HDF5 object reference>
151,9.650169134827241,10.51385311610982,-0.10859430270843783,0.0031019074323127512,0.4617615059520852,,0.0033856184779511127,True,<HDF5 object reference>
152,2.1593937616678622,2.6460952394529205,-0.14896501290518271,1.9298236071212523e-05,0.442244643415588,,2.2002447495204087e-05,True,<HDF5 object reference>
153,1.7972744373139256,3.3453678823898643,-0.4565458805578829,2.2357452167076418e-48,0.355742710047377,suppressed,4.125756637017194e-48,True,<HDF5 object reference>
154,6.055057764940793,8.869429944914382,-0.5056539747219893,3.732164297966639e-48,0.35822145468786987,suppressed,6.748054639757862e-48,True,<HDF5 object reference>
155,0.8159175609836501,1.7657469479810044,-0.36946314620037257,9.580699824690981e-36,0.3849746382424032,suppressed,1.4657651868544322e-35,True,<HDF5 object reference>
156,0.50939975418249,4.966236099872768,-1.1974401477341836,0.0,0.12761545408579303,suppressed,0.0,True,<HDF5 object reference>
